Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,ust_id2
28,Unpolarized capacitor,C,C50,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
29,Unpolarized capacitor,C,C52,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
30,Unpolarized capacitor,C,C7,100nF,C_0805_2012Metric,1,~,6508260b462c6d9e720541f1,
31,Unpolarized capacitor,C,C8,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
32,Unpolarized capacitor,C,C22,1uF,C_1210_3225Metric,1,~,65082f52462c6d9e72054238,
33,Unpolarized capacitor,C,C29,1uF,C_1210_3225Metric,1,~,65082f52462c6d9e72054238,
34,Unpolarized capacitor,C,C32,1uF,C_1210_3225Metric,1,~,65082f52462c6d9e72054238,
35,"EMI filter, single capacitor",Filter_EMI_C,C37,1uF,FIR_0805,1,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/emc/emifil/c31e.ashx?la=en-gb,5c70984412875079b91f880f,
36,Polarized capacitor,C_Polarized,C11,10uF,CP_EIA-3216-18_Kemet-A,1,~,65089dd0462c6d9e720542b3,
37,Polarized capacitor,C_Polarized,C13,10uF,CP_EIA-3216-18_Kemet-A,1,~,65089dd0462c6d9e720542b3,
38,"Polarized capacitor, small symbol",C_Polarized_Small,C21,10uF,CP_EIA-3216-18_Kemet-A,1,https://eu.mouser.com/datasheet/2/40/TAJ-3165264.pdf,65089dd0462c6d9e720542b3,
39,"Polarized capacitor, small symbol",C_Polarized_Small,C26,10uF,CP_EIA-3216-18_Kemet-A,1,https://eu.mouser.com/datasheet/2/40/TAJ-3165264.pdf,65089dd0462c6d9e720542b3,
40,"Polarized capacitor, small symbol",C_Polarized_Small,C27,10uF,CP_EIA-3216-18_Kemet-A,1,https://eu.mouser.com/datasheet/2/40/TAJ-3165264.pdf,65089dd0462c6d9e720542b3,
41,Polarized capacitor,C_Polarized,C3,10uF,CP_EIA-3216-18_Kemet-A,1,~,65089dd0462c6d9e720542b3,
42,"Polarized capacitor, small symbol",C_Polarized_Small,C34,10uF,CP_EIA-3216-18_Kemet-A,1,https://eu.mouser.com/datasheet/2/40/TAJ-3165264.pdf,65089dd0462c6d9e720542b3,
43,Unpolarized capacitor,C,C39,10uF,C_0805_2012Metric,1,~,5c70984712875079b91f8b53,
44,"Unpolarized capacitor, small symbol",C_Small,C40,10uF,C_0805_2012Metric,1,~,5c70984712875079b91f8b53,
45,Unpolarized capacitor,C,C49,10uF,C_0805_2012Metric,1,~,5c70984712875079b91f8b53,
46,Unpolarized capacitor,C,C51,10uF,C_0805_2012Metric,1,~,5c70984712875079b91f8b53,
47,Polarized capacitor,C_Polarized,C6,10uF,CP_EIA-3216-18_Kemet-A,1,~,65089dd0462c6d9e720542b3,
48,Polarized capacitor,C_Polarized,C9,10uF,CP_EIA-3216-18_Kemet-A,1,~,65089dd0462c6d9e720542b3,
49,Photodiode,D_Photo,D1,S2744-09,HAMAMATSU_S2744-09,1,https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/ssd/s2744-08_etc_kpin1049e.pdf,628d118cdc56076e9a2235e4,
50,2x15 2.54 mm pitch header,HEADER_2x15,J1,HEADER_2x15,Straight_2x15,1,,,
51,"Inductor with ferrite core, small symbol",L_Ferrite_Small,L1,NL03KT330,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,~,64fe1808f3b9d36f37fc944d,
52,Two-piece EMI RF shielding cabinet,RFShield_TwoPieces,M5,RFShield_TwoPieces,Laird_Technologies_BMI-S-210-F_44.00x30.50mm,1,~,5c70984312875079b91f873d,5c70984312875079b91f873c
53,"N-JFET transistor, source/drain/gate",Q_NJFET_SDG,Q1,2SK2394-6,SOT-23,1,~,628d134fdc56076e9a223625,
54,Resistor,R,R6,10,R_0805_2012Metric,1,~,5c70984512875079b91f896d,
55,Resistor,R,R1,100,R_0805_2012Metric,1,~,5c70984512875079b91f8977,
56,Resistor,R,R2,100,R_0805_2012Metric,1,~,5c70984512875079b91f8977,
57,Resistor,R,R3,100,R_0805_2012Metric,1,~,5c70984512875079b91f8977,
58,Resistor,R,R10,470R,R_0805_2012Metric,1,~,5c70984512875079b91f8986,
59,Resistor,R,R19,470R,R_0805_2012Metric,1,~,5c70984512875079b91f8986,
60,Resistor,R,R21,470R,R_0805_2012Metric,1,~,5c70984512875079b91f8986,
61,Resistor,R,R7,1k,R_0805_2012Metric,1,~,5c70984512875079b91f898c,
